Ticker,Date,Time,Headline,neg,neu,pos,compound
NIO,Mar-19-21,02:45AM,Tesla Looks To Give Customers The Giga Shanghai Experience,0.0,1.0,0.0,0.0
NIO,Mar-18-21,08:00AM,Tesla Stock Vs. Nio? Own The Top EV Stocks No Matter Who Wins,0.124,0.506,0.371,0.5267
NIO,Mar-17-21,10:15AM,Lordstown Motors earnings: here's what we can expect,0.0,1.0,0.0,0.0
NIO,Mar-16-21,04:38PM,ElectraMeccanica to establish U.S. base of operations in Arizona,0.0,1.0,0.0,0.0
NIO,Mar-16-21,02:53PM,This 118-year-old legendary auto parts maker is going public via a SPAC,0.0,1.0,0.0,0.0
NIO,Mar-16-21,02:36PM,Is Nio Stock A Buy? Chip Shortage EV Competition Weigh On Outlook,0.167,0.833,0.0,-0.25
NIO,Mar-16-21,01:24PM,Keep on Buying NIO Stock Says Analyst Following Investor Meeting,0.0,1.0,0.0,0.0
NIO,Mar-16-21,08:03AM,From This Explosion Of New EV Stocks The Next Tesla May Emerge,0.0,1.0,0.0,0.0
NIO,Mar-15-21,11:46PM,Xpeng CEO Bought Shares In Rival Nio During 2019 Low,0.171,0.65,0.179,0.0258
NIO,Mar-15-21,03:25PM,The Tesla bubble: Bets on electric cars and the rise of SPACs have led to a new version of the dot-com boom,0.0,1.0,0.0,0.0
NIO,Mar-15-21,03:02PM,In One Chart: The explosion in electric-vehicle funding valuation and trading,0.0,1.0,0.0,0.0
NIO,Mar-15-21,02:55PM,Billions poured into electric-vehicle companies but much more will be needed before the auto industry changes,0.0,1.0,0.0,0.0
NIO,Mar-15-21,02:36PM,Dow Jones Rises Nasdaq Leads; Airlines Soar; Germany France Suspend Covid Vaccine,0.173,0.827,0.0,-0.3182
NIO,Mar-15-21,12:33PM,Top Electric Car Stocks for Q2 2021,0.0,0.769,0.231,0.2023
NIO,Mar-15-21,10:15AM,Holley CEO talks going public via SPAC amid pandemic,0.0,1.0,0.0,0.0
NIO,Mar-14-21,06:04PM,Better Buy: NIO vs. XPeng Motors,0.0,0.633,0.367,0.4404
NIO,Mar-13-21,07:00AM,One Bank Made Big Bets on Apple Tesla Nio and Other EV Stocks,0.0,1.0,0.0,0.0
